constituency,pcon13cd,pcon15cd,first_name,last_name,party,colour,population_all,population_reg,percentage,deviation,
Aberavon,W07000049,W07000049,Stephen,Kinnock,Labour,#DC241f,"66,615",49821,66.63323035,33.36676965,
Aberconwy,W07000058,W07000058,Guto,Bebb,Conservative,#0087DC,"56,796",45525,60.8875336,39.1124664,`
Aldershot,E14000530,E14000530,Gerald,Howarth,Conservative,#0087DC,"105,549",72430,96.87169816,3.128301836,
Aldridge-Brownhills,E14000531,E14000531,Wendy,Morton,Conservative,#0087DC,"77,736",60215,80.53471358,19.46528642,
Altrincham and Sale West,E14000532,E14000532,Graham,Brady,Conservative,#0087DC,"99,607",71511,95.64257914,4.357420856,
Alyn and Deeside,W07000043,W07000043,Mark,Tami,Labour,#DC241f,"83,727",62016,82.94346587,17.05653413,
Amber Valley,E14000533,E14000533,Nigel,Mills,Conservative,#0087DC,"88,941",69510,92.96633632,7.033663684,
Arfon,W07000057,W07000057,Hywel,Williams,Plaid Cymru,#008142,"61,088",40492,54.15613423,45.84386577,
Arundel and South Downs,E14000534,E14000534,Nick,Herbert,Conservative,#0087DC,"98,271",77242,103.3075205,-3.307520496,
Ashfield,E14000535,E14000535,Gloria,De Piero,Labour,#DC241f,"103,934",77091,103.1055651,-3.105565141,
Ashford,E14000536,E14000536,Damian,Green,Conservative,#0087DC,"118,063",85177,113.9202076,-13.92020757,
Ashton-under-Lyne,E14000537,E14000537,Angela,Rayner,Labour,#DC241f,"91,096",68343,91.40552903,8.594470971,
Aylesbury,E14000538,E14000538,David,Lidington,Conservative,#0087DC,"114,834",80315,107.4175126,-7.417512605,
Banbury,E14000539,E14000539,Victoria,Prentis,Conservative,#0087DC,"119,726",86420,115.5826613,-15.58266126,
Barking,E14000540,E14000540,Margaret,Hodge,Labour,#DC241f,"131,105",73977,98.94073747,1.059262529,
Barnsley Central,E14000541,E14000541,Dan,Jarvis,Labour,#DC241f,"88,345",64534,86.31117174,13.68882826,
Barnsley East,E14000542,E14000542,Michael,Dugher,Labour,#DC241f,"93,042",69135,92.46479156,7.535208442,
Barrow and Furness,E14000543,E14000543,John,Woodcock,Labour/Co-operative,#DC241f,"87,399",68338,91.39884177,8.601158234,
Basildon and Billericay,E14000544,E14000544,John,Baron,Conservative,#0087DC,"93,235",66347,88.73597346,11.26402654,
Basingstoke,E14000545,E14000545,Maria,Miller,Conservative,#0087DC,"112,626",79665,106.5481684,-6.548168359,
Bassetlaw,E14000546,E14000546,John,Mann,Labour,#DC241f,"104,926",76796,102.7110166,-2.711016598,
Bath,E14000547,E14000547,Ben,Howlett,Conservative,#0087DC,"92,997",63084,84.37186535,15.62813465,
Batley and Spen,E14000548,E14000548,Jo,Cox,Labour,#DC241f,"110,325",78373,104.8201795,-4.820179486,
Battersea,E14000549,E14000549,Jane,Ellison,Conservative,#0087DC,"110,928",76111,101.7948615,-1.794861507,
Beaconsfield,E14000550,E14000550,Dominic,Grieve,Conservative,#0087DC,"101,314",74726,99.94248953,0.057510466,
Beckenham,E14000551,E14000551,Bob,Stewart,Conservative,#0087DC,"90,613",67439,90.1964718,9.8035282,
Bedford,E14000552,E14000552,Richard,Fuller,Conservative,#0087DC,"103,917",69311,92.70018323,7.299816769,
Bermondsey and Old Southwark,E14000553,E14000553,Neil,Coyle,Labour,#DC241f,"136,812",83298,111.407134,-11.40713397,
Berwick-upon-Tweed,E14000554,E14000554,Anne-Marie,Trevelyan,Conservative,#0087DC,"75,640",56969,76.19334216,23.80665784,
Bethnal Green and Bow,E14000555,E14000555,Rushanara,Ali,Labour,#DC241f,"136,523",82727,110.6434485,-10.64344849,
Beverley and Holderness,E14000556,E14000556,Graham,Stuart,Conservative,#0087DC,"100,410",80805,108.0728644,-8.072864422,
Bexhill and Battle,E14000557,E14000557,Huw,Merriman,Conservative,#0087DC,"102,271",78796,105.385922,-5.385921973,
Bexleyheath and Crayford,E14000558,E14000558,David,Evennett,Conservative,#0087DC,"90,340",64828,86.70438283,13.29561717,
Birkenhead,E14000559,E14000559,Frank,Field,Labour,#DC241f,"89,182",62410,83.47042223,16.52957777,
"Birmingham, Edgbaston",E14000560,E14000560,Gisela,Stuart,Labour,#DC241f,"99,614",65591,87.72485923,12.27514077,
"Birmingham, Erdington",E14000561,E14000561,Jack,Dromey,Labour,#DC241f,"99,968",65128,87.10561864,12.89438136,
"Birmingham, Hall Green",E14000562,E14000562,Roger,Godsiff,Labour,#DC241f,"118,171",76330,102.0877636,-2.087763645,
"Birmingham, Hodge Hill",E14000563,E14000563,Liam,Byrne,Labour,#DC241f,"126,360",75302,100.7128623,-0.712862282,
"Birmingham, Ladywood",E14000564,E14000564,Shabana,Mahmood,Labour,#DC241f,"134,989",68128,91.1179767,8.882023298,
"Birmingham, Northfield",E14000565,E14000565,Richard,Burden,Labour,#DC241f,"102,465",71428,95.53157057,4.468429429,
"Birmingham, Perry Barr",E14000566,E14000566,Khalid,Mahmood,Labour,#DC241f,"109,250",69943,93.54545333,6.45454667,
"Birmingham, Selly Oak",E14000567,E14000567,Steve,McCabe,Labour,#DC241f,"106,053",75092,100.4319972,-0.431997218,
"Birmingham, Yardley",E14000568,E14000568,Jess,Phillips,Labour,#DC241f,"109,576",72146,96.4918616,3.5081384,
Bishop Auckland,E14000569,E14000569,Helen,Goodman,Labour,#DC241f,"87,982",66070,88.36549907,11.63450093,
Blackburn,E14000570,E14000570,Kate,Hollern,Labour,#DC241f,"107,024",73260,97.98178389,2.018216106,
Blackley and Broughton,E14000571,E14000571,Graham,Stringer,Labour,#DC241f,"116,015",71913,96.18023512,3.819764876,
Blackpool North and Cleveleys,E14000572,E14000572,Paul,Maynard,Conservative,#0087DC,"83,206",62468,83.54799449,16.45200551,
Blackpool South,E14000573,E14000573,Gordon,Marsden,Labour,#DC241f,"79,990",57411,76.78449625,23.21550375,
Blaenau Gwent,W07000072,W07000072,Nick,Smith,Labour,#DC241f,"69,674",51335,68.65813372,31.34186628,
Blaydon,E14000574,E14000574,David,Anderson,Labour,#DC241f,"88,461",67901,90.81437494,9.185625059,
Blyth Valley,E14000575,E14000575,Ronnie,Campbell,Labour,#DC241f,"82,253",61247,81.91496476,18.08503524,
Bognor Regis and Littlehampton,E14000576,E14000576,Nick,Gibb,Conservative,#0087DC,"102,675",72995,97.62735893,2.372641068,
Bolsover,E14000577,E14000577,Dennis,Skinner,Labour,#DC241f,"95,853",71979,96.268507,3.731492998,
Bolton North East,E14000578,E14000578,David,Crausby,Labour,#DC241f,"96,419",67895,90.80635023,9.193649775,
Bolton South East,E14000579,E14000579,Yasmin,Qureshi,Labour,#DC241f,"103,388",69687,93.20306544,6.796934558,
Bolton West,E14000580,E14000580,Chris,Green,Conservative,#0087DC,"95,658",72719,97.25822199,2.74177801,
Bootle,E14000581,E14000581,Peter,Dowd,Labour,#DC241f,"98,178",70145,93.81561877,6.184381228,
Boston and Skegness,E14000582,E14000582,Matt,Warman,Conservative,#0087DC,"103,898",67064,89.69492704,10.30507296,
Bosworth,E14000583,E14000583,David,Tredinnick,Conservative,#0087DC,"100,879",79738,106.6458024,-6.645802405,
Bournemouth East,E14000584,E14000584,Tobias,Ellwood,Conservative,#0087DC,"106,916",72275,96.664393,3.335607003,
Bournemouth West,E14000585,E14000585,Conor,Burns,Conservative,#0087DC,"102,345",72082,96.40626463,3.593735372,
Bracknell,E14000586,E14000586,Phillip,Lee,Conservative,#0087DC,"109,645",81271,108.6961174,-8.696117375,
Bradford East,E14000587,E14000587,Imran,Hussain,Labour,#DC241f,"116,157",66121,88.43370916,11.56629084,
Bradford South,E14000588,E14000588,Judith,Cummins,Labour,#DC241f,"103,060",63674,85.16096243,14.83903757,
Bradford West,E14000589,E14000589,Naseem,Shah,Labour,#DC241f,"116,290",63372,84.75705172,15.24294828,
Braintree,E14000590,E14000590,James,Cleverly,Conservative,#0087DC,"99,944",73557,98.37900734,1.620992657,
Brecon and Radnorshire,W07000068,W07000068,Chris,Davies,Conservative,#0087DC,"69,146",54441,72.81226177,27.18773823,
Brent Central,E14000591,E14000591,Dawn,Butler,Labour,#DC241f,"142,591",77038,103.0346801,-3.034680148,
Brent North,E14000592,E14000592,Barry,Gardiner,Labour,#DC241f,"133,311",82196,109.9332611,-9.933261111,
Brentford and Isleworth,E14000593,E14000593,Ruth,Cadbury,Labour,#DC241f,"133,165",84602,113.1511723,-13.15117228,
Brentwood and Ongar,E14000594,E14000594,Eric,Pickles,Conservative,#0087DC,"95,574",71918,96.18692239,3.813077612,
Bridgend,W07000073,W07000073,Madeleine,Moon,Labour,#DC241f,"81,544",59998,80.24448635,19.75551365,
Bridgwater and West Somerset,E14000595,E14000595,Ian,Liddell-Grainger,Conservative,#0087DC,"109,616",80491,107.6529043,-7.652904279,
Brigg and Goole,E14000596,E14000596,Andrew,Percy,Conservative,#0087DC,"87,776",68488,91.59945967,8.400540331,
"Brighton, Kemptown",E14000597,E14000597,Simon,Kirby,Conservative,#0087DC,"93,856",67858,90.75686448,9.243135524,
"Brighton, Pavilion",E14000598,E14000598,Caroline,Lucas,Green,#6AB023,"108,041",76557,102.3913654,-2.391365405,
Bristol East,E14000599,E14000599,Kerry,McCarthy,Labour,#DC241f,"98,632",71193,95.21726919,4.782730811,
Bristol North West,E14000600,E14000600,Charlotte,Leslie,Conservative,#0087DC,"102,927",74743,99.96522623,0.03477377,
Bristol South,E14000601,E14000601,Karin,Smyth,Labour,#DC241f,"110,728",81496,108.9970442,-8.99704423,
Bristol West,E14000602,E14000602,Thangam,Debbonaire,Labour,#DC241f,"130,187",91236,122.0238334,-22.02383341,
Broadland,E14000603,E14000603,Keith,Simpson,Conservative,#0087DC,"96,216",73552,98.37232008,1.627679921,
Bromley and Chislehurst,E14000604,E14000604,Bob,Neill,Conservative,#0087DC,"92,437",65477,87.57238963,12.42761037,
Bromsgrove,E14000605,E14000605,Sajid,Javid,Conservative,#0087DC,"95,485",73337,98.08476775,1.915232249,
Broxbourne,E14000606,E14000606,Charles,Walker,Conservative,#0087DC,"101,021",72944,97.55914885,2.440851155,
Broxtowe,E14000607,E14000607,Anna,Soubry,Conservative,#0087DC,"97,032",71764,95.98095467,4.019045326,
Buckingham,E14000608,E14000608,John,Bercow,Speaker,#DDDDDD,"101,079",77425,103.5522743,-3.552274338,
Burnley,E14000609,E14000609,Julie,Cooper,Labour,#DC241f,"87,291",64477,86.23493694,13.76506306,
Burton,E14000610,E14000610,Andrew,Griffiths,Conservative,#0087DC,"104,648",75248,100.6406398,-0.640639837,
Bury North,E14000611,E14000611,David,Nuttall,Conservative,#0087DC,"88,411",67580,90.38505263,9.614947371,
Bury South,E14000612,E14000612,Ivan,Lewis,Labour,#DC241f,"99,063",73883,98.81501692,1.184983081,
Bury St Edmunds,E14000613,E14000613,Jo,Churchill,Conservative,#0087DC,"116,143",85982,114.996857,-14.99685699,
Caerphilly,W07000076,W07000076,Wayne,David,Labour,#DC241f,"87,760",63603,85.06600329,14.93399671,
Calder Valley,E14000614,E14000614,Craig,Whittaker,Conservative,#0087DC,"104,128",77754,103.9922963,-3.992296273,
Camberwell and Peckham,E14000615,E14000615,Harriet,Harman,Labour,#DC241f,"128,795",82746,110.6688601,-10.66886009,
Camborne and Redruth,E14000616,E14000616,George,Eustice,Conservative,#0087DC,"87,924",66944,89.53443272,10.46556728,
Cambridge,E14000617,E14000617,Daniel,Zeichner,Labour,#DC241f,"119,144",83384,111.5221549,-11.5221549,
Cannock Chase,E14000618,E14000618,Amanda,Milling,Conservative,#0087DC,"98,549",74532,99.68302371,0.316976287,
Canterbury,E14000619,E14000619,Julian,Brazier,Conservative,#0087DC,"114,106",81341,108.7897391,-8.789739063,
Cardiff Central,W07000050,W07000050,Jo,Stevens,Labour,#DC241f,"90,656",57456,76.84468162,23.15531838,
Cardiff North,W07000051,W07000051,Craig,Williams,Conservative,#0087DC,"88,653",67196,89.8714708,10.1285292,
Cardiff South and Penarth,W07000080,W07000080,Stephen,Doughty,Labour/Co-operative,#DC241f,"111,714",76006,101.654429,-1.654428975,
